i;Ii;Ji;ni
1;-12;0;-0.133645667811215E-6
2;-12;1;0.455912656802978E-5
3;-12;2;-0.146294640700979E-4
4;-12;6;0.639341312970080E-2
5;-12;14;0.372783927268847E3
6;-12;16;-0.718654377460447E4
7;-12;20;0.573494752103400E6
8;-12;22;-0.267569329111439E7
9;-10;1;-0.334066283302614E-4
10;-10;5;-0.245479214069597E-1
11;-10;12;0.478087847764996E2
12;-8;0;0.764664131818904E-5
13;-8;2;0.128350627676972E-2
14;-8;4;0.171219081377331E-1
15;-8;10;-0.851007304583213E1
16;-5;2;-0.136513461629781E-1
17;-3;0;-0.384460997596657E-5
18;-2;1;0.337423807911655E-2
19;-2;3;-0.551624873066791
20;-2;4;0.729202277107470
21;-1;0;-0.992522757376041E-2
22;-1;2;-0.119308831407288
23;0;0;0.793929190615421
24;0;1;0.454270731799386
25;1;1;0.209998591259910
26;3;0;-0.642109823904738E-2
27;3;1;-0.235155868604540E-1
28;4;0;0.252233108341612E-2
29;4;3;-0.764885133368119E-2
30;10;4;0.136176427574291E-1
31;12;5;-0.133027883575669E-1
