i;Ii;Ji;ni
1;-12;0;-0.225196934336318E-8
2;-12;1;0.140674363313486E-7
3;-8;0;0.233784085280560E-5
4;-8;1;-0.331833715229001E-4
5;-8;3;0.107956778514318E-2
6;-8;6;-0.271382067378863
7;-8;7;0.107202262490333E1
8;-8;8;-0.853821329075382
9;-6;0;-0.215214194340526E-4
10;-6;1;0.769656088222730E-3
11;-6;2;-0.431136580433864E-2
12;-6;5;0.453342167309331
13;-6;6;-0.507749535873652
14;-6;10;-0.100475154528389E3
15;-4;3;-0.219201924648793
16;-4;6;-0.321087965668917E1
17;-4;10;0.607567815637771E3
18;-3;0;0.557686450685932E-3
19;-3;2;0.187499040029550
20;-2;1;0.905368030448107E-2
21;-2;2;0.285417173048685
22;-1;0;0.329924030996098E-1
23;-1;1;0.239897419685483
24;-1;4;0.482754995951394E1
25;-1;5;-0.118035753702231E2
26;0;0;0.169490044091791
27;1;0;-0.179967222507787E-1
28;1;1;0.371810116332674E-1
29;2;2;-0.536288335065096E-1
30;2;6;0.160697101092520E1
